,rule_title,rule_text
4098,super-rich,
4099,supersede,not supercede
4100,supine,face up; prone face down
4101,supply days,(parliament)
4102,supreme court,
4103,Sure Start,
4104,surge,"prefer rise or increase, if that is the meaning; but surge is preferable to “upsurge”"
4105,surgeons,"surgeons traditionally take the honorific of Mr/Ms/Miss/Mrs, not Dr. As such, and in line with Guardian style, use their full name at first mention, and surname thereafter eg Henry Marsh, then Marsh"
4106,Suriname,(not Surinam); formerly Dutch Guiana
4107,surrealism,
4108,"Sutcliff, Rosemary",British historical novelist (1920-92) whose works include The Eagle of the Ninth
4109,svengali,(lc) although named after the sinister Svengali in George du Maurier’s 1894 novel Trilby
4110,swap,not swop
4111,swat,flies
4112,swot,books
4113,swastika,"ancient symbol whose name comes from the Sanskrit for “that which brings wellbeing”, but which was appropriated as an emblem of racism by Nazis in 1920s Germany, where it’s known as the Hakenkreuz (hooked cross)"
4114,swath/swathe,either is acceptable to refer to a strip of land
4115,Swaziland,now called Eswatini but worth mentioning its former name at first reference
4116,swearwords,"We are more liberal than any other newspapers, using language that most of our competitors would not. The statistics tell their own story: the word “fuck” (and its variants) appeared 705 times in the Guardian in the 12 months to April 2010, with a further 269 mentions in the Observer. (The figures for other national newspapers were as follows: Independent 279, Independent on Sunday 74, Times 3, Sunday Times 2, all other papers 0.) The figures for the C-word, still regarded by many people as taboo, were: Guardian 49, Observer 20, Independent 8, Independent on Sunday 5, everyone else 0.

Even some readers who agree with Lenny Bruce that “take away the right to say fuck and you take away the right to say fuck the government” might feel that we sometimes use such words unnecessarily, although comments in response to Guardian Style’s blogpost on the subject were overwhelmingly in support of our policy.

The editor’s guidelines are as follows:

First, remember the reader, and respect demands that we should not casually use words that are likely to offend.

Second, use such words only when absolutely necessary to the facts of a piece, or to portray a character in an article; there is almost never a case in which we need to use a swearword outside direct quotes. The use of swearwords in furniture, especially headlines, should also be avoided unless an editor deems it absolutely necessary.

Third, the stronger the swearword, the harder we ought to think about using it.

Finally, never use asterisks, or such silliness as b------, which are just a cop-out, as Charlotte Brontë recognised: “The practice of hinting by single letters those expletives with which profane and violent people are wont to garnish their discourse, strikes me as a proceeding which, however well meant, is weak and futile. I cannot tell what good it does – what feeling it spares – what horror it conceals”"
4117,swingeing,
4118,swinging 60s,
4119,sync,"as in “out of sync”, also lip-sync, lip-syncing"
4120,synopsis,plural synopses
4121,syntax,"Beware of ambiguous or incongruous sentence structure – the following appeared in a column in the paper: “This argument, says a middle-aged lady in a business suit called Marion, is just more London stuff ... “ (What were her other outfits called?).

In English, unlike some languages, the slightest difference in word order can change the meaning: we referred to the “number of average holidays taken a year by the most affluent households”, an apparent comment on the quality of the holidays rather than what we actually meant, which was the average number of holidays"
4122,"synthesis, synthesise, synthesiser",
4123,"Syrskyi, Col Gen Oleksandr",commander-in-chief of the Ukrainian armed forces
4124,systematic,methodical
4125,systemic,"relating to a system

-t ending for past participle: the cakes were burnt, the word was misspelt. But earned, not earnt"
4126,T,"(not tee) as in it suited her to a T, he had it down to a T"
4127,tableau,plural tableaux
4128,table d’hote,
4129,tabloid,"refers to longstanding redtops such as the Sun and Daily Mirror, rather than the more recent breed of shrunken broadsheets; they are sometimes accused of writing in tabloidese"
4130,tabloid journalists,defined by Charlie Brooker as “people who waste their lives actively making the world worse”
4131,tad,is a tad overused
4132,Ta-dah!,
4133,tai chi,
4134,Taiwan,"can be referred to as an island, an economy or a democracy, but avoid referring to it as a country, nation or state. Where relevant, provide context on the status of Taiwan in relation to China. The democratically elected leader can be referred to as Taiwan’s president, and likewise Taiwan’s government"
4135,Taiwanese names,"like Hong Kong and Korean names, these are in two parts with a hyphen, eg Lee Teng-hui (Lee after first mention)"
4136,Tajikistan,adjective Tajik
4137,take-home pay,"refers to net (after tax), not gross, pay; we sometimes mistakenly use it as a synonym for salary"
4138,takeoff,noun; take off verb
4139,take-up,noun; take up verb
4140,Takeover Panel,
4141,Taliban,plural (it means students); the singular is Talib
4142,talisman,"plural talismans, not “talismen”"
4143,talkshow,mainly American English; the British English version is chatshow
4144,TalkSport,although the radio station’s brand is talkSPORT
4145,TalkTV,not Talk TV
4146,Tamiflu,"trade name of oseltamivir, an antiviral drug that slows the spread of the influenza virus between cells in the body. Do not call it a vaccine – it treats, but does not pre-empt"
4147,tam o’shanter,woollen cap
4148,Tampax,TM; say tampon
4149,T&Cs,terms and conditions
4150,Tangier,not Tangiers
4151,Tannoy,TM; say public address system or just PA
4152,Tantrism,or Tantra is a religious movement within Buddhism and Hinduism that has become more widely known in the west through practices such as Tantric sex and Tantric yoga
4153,taoiseach,the Irish prime minister
4154,Taoism,rather than Daoism
4155,Tardis,the Doctor’s time machine in Doctor Who; the acronym stands for time and relative dimension in space
4156,"targeted, targeting",
4157,tariff,
4158,Tarmac,"a company; tarmac formerly used to make pavements, roads and runways (we now walk and drive on asphalt)"
4159,tarot cards,
4160,tar sands,rather than oil sands
4161,tart up,Please avoid this phrase
4162,Taser,TM; the generic term is stun gun
4163,taskforce,
4164,Tate,"the original London gallery in Millbank, now known as Tate Britain, houses British art from the 16th century to the present day; Tate Modern, at Southwark, south London, Tate Liverpool and Tate St Ives, in Cornwall, all house modern art"
4165,"Tavener, Sir John",(1944-2013) English composer of such works as The Protecting Veil
4166,"Taverner, John",(c1490-1545) English composer of masses and other vocal works
4167,tax avoidance,is legal; tax evasion is illegal
4168,tax burden,"a recognised term for tax revenue as a share of the overall economy, but overused in our articles in contexts where simpler, less politically loaded terms such as tax, taxation or tax bill would be better"
4169,"taxi, taxiing",of aircraft
4170,the taxman,"avoid in favour of tax department, HMRC or tax collector"
4171,taxpayer,but council tax payer
4172,TaxPayers’ Alliance,"“Britain’s independent grassroots campaign for lower taxes,” or as the Guardian’s Michael White puts it: “Tory front organisation and purveyor of dodgy statistics”"
4173,Tbilisi,capital of Georgia
4174,T-cell,
4175,Tchaikovsky,
4176,"teabag, teacup, teapot, teaspoon",all one word
4177,teaching excellence framework (Tef),"likewise, research excellence framework (Ref)"
4178,teammate,
4179,teams,"Sports teams take plural verbs: Wednesday were relegated again, Australia have won by an innings, etc; but note that in a business context, they are singular like other companies, eg Manchester United reported its biggest loss to date"
4180,Tea Party movement,named after the Boston Tea Party protest of 1773
4181,teargas,
4182,Teasmade,TM; say teamaker
4183,Technicolor,TM
4184,Ted Talks,"the abbreviation stands for technology, entertainment, design"
4185,teddy boys,(1950s) took their name from their Edwardian style of clothing
4186,Teesside,
4187,teetotaller,
4188,Teflon,TM; say non-stick pan
4189,telephone numbers,"should be hyphenated after three- or four-figure, but not five-figure, area codes: 020-3353 2000, 0161-832 7200; 01892 456789, 01635 123456.

Treat mobile phone numbers as having five-figure area codes: 07911 654321 .

US numbers like this, with the area code in parentheses: (508) 362-8652"
4190,Teletubbies,Tinky Winky (purple); Laa-Laa (yellow); Dipsy (green); and Po (red)
4191,television shows,"chatshow, gameshow, quizshow, talkshow"
4192,temazepam,
4193,temperatures,"thus: 30C (85F) – ie celsius, with fahrenheit in brackets on first mention; but be extremely wary (or don’t bother) converting temperature changes, eg an average temperature change of 2C was wrongly converted to 36F in an article about a heatwave (although a temperature of 2C is about the same as 36F, a temperature change of 2C corresponds to a change of about 4F)"
4194,Ten Commandments,not 10 Commandments
4195,tending,"one’s flock, etc (not “tending to”)"
4196,tendinitis,not tendonitis
4197,tenpin bowling,
4198,tenses,"We’ve Only Just Begun was playing on the radio. He began to drink; in fact he drank so much, he was drunk in no time at all. He sank into depression, knowing that all his hopes had been sunk . Finally, he sneaked away. Or perhaps snuck (according to Steven Pinker, the most recent irregular verb to enter the language). See burned , dreamed , learned , spelled , spoiled"
4199,"Terfel, Bryn","Welsh opera singer; for some reason we often describe him as a tenor, but he is a bass baritone"
4200,Terminal 5,at Heathrow may be abbreviated to T5 after first mention
4201,terrace houses,not terraced
4202,terracotta,
4203,terra firma,
4204,Terrence Higgins Trust,
4205,"terrorism, terrorists","A terrorist act is directed against victims chosen either randomly or as symbols of what is being opposed (eg workers in the World Trade Center, tourists in Bali, Spanish commuters). It is designed to create a state of terror in the minds of a particular group of people or the public as a whole for political or social ends. Although most terrorist acts are violent, you can be a terrorist without being overtly violent (eg poisoning a water supply or gassing people on the underground).

Does having a good cause make a difference? The UN says no: “Criminal acts calculated to provoke a state of terror in the general public are in any circumstances unjustifiable, whatever the considerations of a political, philosophical, ideological, racial, ethnic, religious or other nature that may be invoked to justify them.”

Whatever one’s political sympathies, suicide bombers, the 9/11 attackers and most paramilitary groups can all reasonably be regarded as terrorists (or at least groups some of whose members perpetrate terrorist acts).

Nonetheless we need to be very careful about using the term: it is still a subjective judgment – one person’s terrorist may be another person’s freedom fighter, and there are former “terrorists” holding elected office in many parts of the world. Some critics suggest that, for the Guardian, all terrorists are militants – unless their victims are British. Others may point to what they regard as “state terrorism”. Often, alternatives such as militants, radicals, separatists, etc, may be more appropriate and less controversial, but this is a difficult area: references to the “resistance”, for example, imply more sympathy to a cause than calling such fighters “insurgents”. The most important thing is that, in news reporting, we are not seen – because of the language we use – to be taking sides.

Note that the phrase “war on terror” should always appear in quotes, whether used by us or (more likely) quoting someone else"
4206,Tesco,not Tesco’s
4207,Tessa,"tax-exempt special savings account, replaced by Isas"
4208,Test,"(cricket and rugby) the third Test, etc"
4209,Tetra Pak,TM
4210,Texan,"a person; the adjective is Texas : Texas Ranger, Texas oilwells, Texas tea etc"
4211,textbook,
4212,Thaksin Shinawatra,former prime minister of Thailand; Thaksin on second mention
4213,thalidomide,
4214,that,"Do not use automatically after the word “said”, but it can be useful: you tend to read a sentence such as “he said nothing by way of an explanation would be forthcoming” as “he said nothing by way of an explanation” and then realise that it does not say that at all; “he said that nothing by way of an explanation would be forthcoming” is much clearer. A similar problem arises with verbs such as argue and warn. “He argued the case for war had not been made” and “he warned the case for war had not been made” both become much clearer if you insert “that” after the verb"
4215,that or which?,"The traditional definition is that “that” defines and “which” informs (gives extra information), as in: “This is the house that Jack built; but this house, which John built, is falling down.” “The Guardian, which I read every day, is the paper that I admire above all others.” “I am very proud of the sunflowers that I grew from seed” (some of them); “I am very proud of the sunflowers, which I grew from seed” (all of them). Note that in such examples the sentence remains grammatical without “that” (“this is the house Jack built,” “The Guardian is the paper I admire above all others,” “I am very proud of the sunflowers I grew”) but not without “which” (“this house, John built, is falling down”).

A word about relative clauses: restrictive relative clauses (also known as defining, best thought of as giving essential information by narrowing it down) are not enclosed by commas, whereas non-restrictive relative clauses (non-defining, giving non-essential information) are.

In the three examples, “which John built”, “which I read every day” and “which I grew from seed” are all non-restrictive. They give extra information, they are preceded by a comma, and they use “which” rather than “that”. If you try them with “that” they sound odd (“the Guardian, that I read every day”). It’s not the same the other way round: although “that” is more common in restrictive clauses, you can use “which”: “the Guardian is the paper which I read every day”.

A formula that may help simplify things: Restrictive clauses – “that” (desirable), no comma (essential). Non-restrictive clauses – “which”, comma (both essential). So a BBC radio interviewer who asked the question “should advertising, which targets children, be banned?” was suggesting that all advertising targets children. She meant “should advertising that targets children be banned?”"
4216,the,"Leaving “the” out often reads like official jargon: say the conference agreed to do something, not “conference agreed”; the government has to do, not “government has to”; the Super League (rugby), not “Super League”.

Avoid the “prime minister Rishi Sunak” syndrome: do not use constructions such as “prime minister Rishi Sunak said”. Prominent figures can just be named, with their function at second mention: “Rishi Sunak said last night” (first mention); “the prime minister said” (subsequent mentions).

If it is thought necessary to explain who someone is, write “Chris Wilder, the Sheffield United manager, said” or “the Sheffield United manager, Chris Wilder, said”. In such cases the commas around the name indicate there is only one person in the position, so write “the Tory prime minister, Rishi Sunak, said” (only one person in the job), but “the former Tory prime minister David Cameron said” (there have been many).

lc for newspapers (the Guardian), magazines (the New Statesman), pubs (the Coach and Horses), bands (the Black Eyed Peas, the Not Sensibles, the The), nicknames (the Hulk, the Red Baron), and sports grounds (the Oval).

uc for books (The Lord of the Rings), films (The Matrix), poems (The Waste Land), television shows (The West Wing), and works of art (The Adoration of the Magi).

Names of trains take the definite article (the Flying Scotsman); names of locomotives do not (Mallard)"
4217,‘the’ in name of a country,"include “the”: the Bahamas, the British Virgin Islands, the Cayman Islands, the Czech Republic, the Democratic Republic of the Congo (DRC, no “the”, on second mention), the Dominican Republic, the Gambia, the Marshall Islands, the Netherlands (but The Hague), the Northern Mariana Islands, the Philippines, the United Arab Emirates (the UAE on second mention), the UK, the US.

no “the”: Central African Republic (CAR on second mention), Ivory Coast, Lebanon, Seychelles, Solomon Islands, Sudan, Ukraine, Vatican City (but the Vatican), Yemen"
4218,the3million,Brexit campaign group for EU citizens living in the UK
4219,theatre,"the Royal National Theatre, commonly known as the National, comprises three auditoriums: the Olivier, the Lyttelton, and the Dorfman (formerly Cottesloe) – no need to add “theatre” to these, but if you do, it’s lowercase – and the Temporary theatre (formerly the Shed). Other theatres: lowercase for “theatre”, eg Adelphi theatre, Crucible theatre (but normally just Adelphi, Crucible). Initial cap only if “Theatre” comes first, eg Theatre Royal, Stratford East"
4220,theatregoer,
4221,theirs,no apostrophe
4222,then,no hyphen in such phrases as “the then prime minister”
4223,Theresienstadt,"Nazi concentration camp at Terezín, in what is now the Czech Republic"
4224,thermonuclear,one word
4225,Thermos,TM; say vacuum flask
4226,Thessaloniki,not Salonica or Salonika
4227,thing or think?,"If you think the expression is “you’ve got another thing coming”, then you have misheard the expression “you’ve got another think coming”"
4228,thinktank,one word
4229,Third Reich,
4230,third way,
4231,third world,"meaning not the west (first) or the Soviet Union (second), so today an outdated (as well as objectionable) term; use developing countries or developing nations"
4232,this and that,"that was then, but this is now; this looks forward, that looks back: so the man showing his son and heir the lands lying in front of them says: “One day, son, all this will be yours.” Then he points behind him to the house and says: “But that remains mine”"
4233,"thoroughbred, thoroughgoing",
4234,3D,
4235,"threefold, threescore",
4236,three-line whip,
4237,"throw, throes","You might make a last throw of the dice, but if you are in your last throes, your situation is considerably more serious"
4238,thumbs up,massive or otherwise
4239,thunderstorm,one word
4240,Tiananmen Square,Beijing
4241,Tianjin,not Tientsin
4242,tic,an idiosyncratic habitual behaviour or spasm – not to be confused with tick
4243,tick,"a bloodsucking bug, correction mark or sound a clock makes – not to be confused with tic"
4244,tikka masala,
4245,till,"Not an abbreviation of until, but the older word. Until sounds more natural as the first word of a sentence and before a verb (“Until you come back to me”); till works well in less formal contexts and before a noun (“till lunchtime”). Do not use til or ’til, despite such precedents as the Beach Boys’ sublime Til I Die"
4246,"timebomb, timescale, timeshare",
4247,times,"1am, 6.30pm, etc; 10 o’clock last night but 10pm yesterday; half past two, a quarter to three, 10 to 11, etc; 2hr 5min 6sec, etc; for 24-hour clock, 00.47, 23.59; noon, midnight (not 12 noon, 12 midnight or 12am, 12pm).

The week starts on Mondays, but stories published on Sunday refer to the following week as “this week” and the six days preceding that Sunday as “last week”.

Writers must put the date in brackets when there might be ambiguity"
4248,Timor-Leste,formerly East Timor
4249,tinfoil,
4250,Tinker Tailor Soldier Spy,"John le Carré novel adapted for television by the BBC in 1979 (starring Alec Guinness as George Smiley) and, in September 2011, released as a feature film with Gary Oldman as Smiley"
4251,tipi,"closer to the original Lakota (a variety of Sioux) word thí pi, and therefore preferable to tepee"
4252,tipoff,one word as a noun
4253,Tipp-Ex,TM; use correction fluid (not that many people do any more)
4254,tipping point,another example of jargon that has quickly become hackneyed through overuse
4255,Tirol,not Tyrol
4256,titbit,not tidbit
4257,titillate,"mildly excite; titivate tidy up.

Use “tidy up” rather than titivate or readers will probably think you mean titillate"
4258,T-junction,
4259,toby jug,inexplicably capped up in the paper at least twice
4260,to-do,as in “what a to-do!”
4261,to-ing and fro-ing,You need the hyphens to stop it looking like “toyng and froyng”
4262,told the Guardian,"is used far too often: it should normally be replaced by “said” and reserved for occasions when it genuinely adds interest or authority to a story (if someone got an exclusive interview with, say, Lord Lucan)"
4263,"Tolkien, JRR","(1892-1973) British author and philologist, notable for writing The Lord of the Rings and not spelling his name “Tolkein”"
4264,tomato,plural tomatoes
4265,tomb of the Unknown Warrior,not soldier
4266,tonnage,"is measured in tons (units of volume), not tonnes (units of mass) – derived from the number of tuns (large barrels) a vessel could hold; registered tonnage is the total internal capacity of a vessel.

Displacement tonnage is its actual weight, equal to the weight of water it displaces, and is measured in tonnes"
4267,tonne,"not ton (but note the above): the (metric) tonne is 1,000kg (2,204.62lb), the British ton is 2,240lb, and the US ton is 2,000lb; usually there is no need to convert.

For figurative use, write tons (I’ve had tons of birthday cards, etc)"
4268,"Top 10, Top 40, etc","in reference to pop charts, but cap it down more generally if talking about, say, the top five chippies in Whitby"
4269,"Topman, Topshop",
4270,"Torah, the",
4271,tornado,plural tornadoes (storm); Tornado plural Tornados (aircraft)
4272,"torpid, turbid or turgid?","There’s plenty of opportunity to get these wrong, and plenty of people do: torpid means apathetic or sluggish; turbid is muddy, thick or cloudy; turgid means congested or swollen, and therefore can be handy if you want to accuse someone of using bombastic or pompous language"
4273,tortuous or torturous?,A long and winding road is tortuous. An experience involving pain or suffering might be described as torturous
4274,Tory party,
4275,total,"Avoid starting court stories with variations on the formula “three men were jailed for a total of 19 years”, a statistic that conveys no meaningful information (in this case, they had been given sentences of nine, six and four years).

The only time this might be justified is when one person is given a series of life sentences, and “he was jailed for a total of 650 years” at least conveys how serious the crimes were"
4276,totalled,two Ls
4277,"tote, the",
4278,Tourette syndrome,
4279,"Toussaint, Allen",US blues musician
4280,"Toussaint, Jean",US jazz musician
4281,"Toussaint L’Ouverture, Pierre Dominique","(1743-1803) leader of Haiti’s slave revolt of 1791 and subsequent fight for independence, which was granted in 1801"
4282,"town councillor, town hall",
4283,townhouse,
4284,townie,not townee
4285,"Townshend, Pete",one of the two members of the Who who didn’t die before he got old (the other is Roger Daltrey)
4286,Tpims,"rather than TPIMs is the abbreviation for terrorism prevention and investigation measures; use sparingly, however: “measures” and similar terms are generally preferable"
4287,track record,record should normally be sufficient
4288,trademarks (TM),"Take care: use a generic alternative unless there is a very good reason not to, eg ballpoint pen, not biro (unless it really is a Biro, in which case it takes a cap B); say photocopy rather than Xerox, etc; you will save our lawyers, and those of Portakabin and various other companies, a lot of time and trouble"
4289,trade union,but Trades Union Congress (TUC)
4290,tragic,People do not need to be told that an accident is “tragic”
4291,train,"a number of things in a string, such as animals, railway carriages or wagons. In railway terms a train is hauled by an engine or locomotive, with which it is not synonymous"
4292,tranquillisers,not tranquilisers
4293,transatlantic,
4294,"transgender, trans","Where relevant, use transgender at first mention, thereafter trans, and only as an adjective: transgender person, trans person, trans woman, trans man; never “transgendered person” or “a transgender”. Avoid using the term transsexual unless someone specifically identifies as such.

The use of the birth name of a trans person should be avoided unless it is specifically relevant to the story and has been discussed with editors"
4295,translator,"works with the written word; often confused with interpreter , who works with the spoken word"
4296,Transnistria,"separatist region that declared its independence from Moldova in 1990, but has not been recognised by the international community; also known as Trans-Dniester"
4297,transpire,"to emit vapour through the skin, so by analogy to become apparent, come to be known, not just a synonym for “occur” or “happen”; “it transpired that” usually sounds artificial and pompous in any case"
4298,Transport for London,TfL on second mention
4299,Trans-Siberian railway,
4300,Travellers,"with a capital T to refer to the ethnic group, but new age travellers (l/c)"
4301,traybake,
4302,"Treasury, the",(officially HM Treasury)
4303,treaties,"lc, eg peace of Westphalia (1648), treaty of Versailles (1919)"
4304,Trekkers,"how to refer to Star Trek fans unless you want to make fun of them, in which case they are Trekkies"
4305,trenchcoat,
4306,T rex,dinosaur; full name Tyrannosaurus rex
4307,T Rex,band
4308,tricolour,French and Irish
4309,trickle-down economics,but no hyphen needed in constructions such as: “The prime minister believes wealth will trickle down”
4310,trillion,"a thousand billion (1 followed by 12 noughts), abbreviate like this: $25tn"
4311,"Trinity College, Cambridge","not to be confused with Trinity Hall, Cambridge"
4312,Trinity College Dublin,
4313,trip-hop,
4314,Trips,trade-related intellectual property rights
4315,triumphant or triumphal?,You might put up a triumphal arch because you are triumphant in battle
4316,Trojan horse,
4317,trolley,"plural trolleys, not trollies"
4318,trooper,"soldier in a cavalry regiment (so you might “swear like a trooper”); trouper member of a troupe, or dependable worker (“the night team are real troupers”)"
4319,trooping the colour,(no “of”)
4320,"tropic of cancer, tropic of capricorn",
4321,the Troubles,(Northern Ireland)
4322,"troubleshooter, troubleshooting",
4323,trove,derived from “treasure trove” but commonly used on its own to mean a hoard or a valuable find
4324,Trump Organization,
4325,try to,"never “try and”. As Bart Simpson put it: “I can’t promise I’ll try, but I’ll try to try”"
4326,Ts,as in dotting the Is and crossing the Ts
4327,tsar,not czar; try to avoid when referring to someone appointed to a government role
4328,tsetse,fly
4329,T-shirt,not tee-shirt
4330,tsunami,wave caused by an undersea earthquake; not the same thing as a tidal wave
4331,Tuareg,"the Berber people of Saharan north Africa, and their language"
4332,"tube, the","lc (London Underground is the name of the company); individual lines thus: Jubilee line, Northern line, etc; the underground"
4333,TUC,"Trades Union Congress, so TUC Congress is tautological: the reference should be to the TUC conference"
4334,Tupperware,TM; say plastic container unless you are sure it is Tupperware (uc)
4335,turkish delight,
4336,Turkmenistan,"adjective Turkmen; its citizens are Turkmen, singular Turkman"
4337,Turkomans,(singular noun and adjective is Turkoman) are a formerly nomadic central Asian people who now form a minority in Iraq; they speak Turkmen
4338,turned,the subeditor turned stylebook guru Amelia Hodsdon said … (no hyphens)
4339,turnover,in business
4340,turn over,in bed
4341,Tutankhamun,
4342,21st century,"but hyphenate if adjectival: newspapers of the 21st century, 21st-century newspapers"
4343,Twenty20,"cricket, abbreviated to T20 or t20"
4344,twitchers,birdwatchers or birders are preferable terms
4345,Twitter/X,"Elon Musk’s social media platform is now called X, not Twitter, but it is still OK to refer to posts on the platform as tweets or retweets.

When quoting tweets, where the aim is normally to capture the flavour and convey the immediate impact of an event, do not correct the grammar, spelling or style"
4346,twofold,
4347,tying,
4348,uber,no accent if you are saying something like uber-hip (although uber in this sense is uber-used); use the umlaut if you are quoting German
4349,Uber,app-based taxi company
4350,U-boat,
4351,uc,abbreviation for UPPERCASE but often used to mean initial capital letters
4352,Ucas,Universities and Colleges Admissions Service
4353,UCLan,abbreviation of the University of Central Lancashire
4354,UK or Britain,"in copy and headlines for the United Kingdom of Great Britain and Northern Ireland (but note Great Britain comprises just England, Scotland and Wales)"
4355,Ukip,"It’s not normally necessary to give its full name, the UK Independence party"
4356,Ukraine,no “the”; adjective Ukrainian
4357,Ukraine place names,Kyiv not Kiev; Donbas not Donbass; Odesa not Odessa; Luhansk not Lugansk; Lviv not Lvov; Kharkiv not Kharkov; Dnipro (for the city and the river); Hostomel not Gostomel; Mykolaiv ; Zaporizhzhia; Berdiansk not Berdyansk; Borodianka not Borodyanka; Trostianets not Trostyanets; Chornobyl not Chernobyl; Izium not Izyum; Enerhodar not Energodar; Balakliia not Balakliya; Mariinka
4358,ukulele,not ukelele
4359,Ulaanbaatar,capital of Mongolia
4360,Ulster,"Avoid as an alternative term for Northern Ireland, which in fact comprises six of the nine counties of the province of Ulster. The only acceptable use is when it is in the name of an organisation eg a political party or sports team"
4361,ultra-low emission zone,or Ulez for short
4362,Uluru,not Ayers Rock
4363,-ums,"Latinate -um neuter endings that are a part of the language (eg stadium) take an -s plural. Exceptions: bacteria, which retain the Latin plural and take a plural verb, as do media, but note that spiritualists are mediums"
4364,Umist,the former University of Manchester Institute of Science and Technology merged with the University of Manchester in 2004
4365,umlaut,"In German placenames, ae, oe and ue should almost always be rendered ä, ö, ü. Family names, however, for the most part became petrified many years ago and there is no way of working out whether the -e form or the umlaut should be used; you just have to find out for each individual"
4366,umm-ed and ahh-ed,
4367,UN,"United Nations, but it is not normally necessary to spell it out"
4368,UN general assembly,should not be abbreviated to UNGA or Unga
4369,UN high commissioner for human rights,"currently Michelle Bachelet, formerly Zeid Ra’ad al-Hussein (Hussein after first mention); the agency is normally abbreviated to OHCHR"
4370,UN secretary general,currently António Guterres
4371,UN security council,
4372,UNAids,
4373,unbiased,
4374,uncharted,not unchartered
4375,unchristian,
4376,uncooperative,
4377,under-,"prefixes are normally one word, eg underachieve, underact, underage, undercover, underdeveloped, undermanned, underprivileged, undersea, undersecretary, undersigned, undervalue, underweight"
4378,"underestimate, understate",Take care that you don’t mean overestimate or overstate. We often get this wrong – a typical example from the paper: “Qian’s contribution to China’s space and missile programme cannot be underestimated” (the writer meant the opposite)
4379,"underground, the",but London Underground for the name of the company
4380,under way,not underway
4381,uneducated,“with no formal education” may be more accurate
4382,Unesco,"United Nations Educational, Scientific and Cultural Organisation"
4383,"unfollow, unfriend","is what you do to people you don’t like on, respectively, X and Facebook"
4384,UNHCR,"United Nations high commissioner for refugees; not commission, although the name stands for both the high commissioner, Filippo Grandi, and the refugee agency he heads"
4385,Unicef,United Nations Children’s Fund
4386,uninterested,"means not taking an interest; not synonymous with disinterested , which means unbiased, objective"
4387,union,lc when debating the future of “the union” (England and Scotland)
4388,union boss,"is a phrase to avoid, except in quotes. Union leader or union chief is preferable"
4389,"union flag, union jack",The Flag Institute has ruled that these two terms are interchangeable
4390,unionists,"(Northern Ireland) lc except in the name of a party, eg Democratic Unionist party"
4391,unique,"one of a kind, so cannot be qualified as “absolutely unique”, “very unique”, etc"
4392,Unite,"the UK’s biggest trade union, formed in 2007 by the merger between Amicus and the Transport and General Workers’ Union"
4393,United Kingdom,"England, Wales, Scotland and Northern Ireland; no need to write in full: say Britain or the UK"
4394,United Kingdom Onshore Oil and Gas,abbreviation: Ukoog
4395,United Reformed Church,"not United Reform Church, as pointed out on a wearisomely regular basis in the corrections column"
4396,universal credit,
4397,Universal Declaration of Human Rights,"article 1, article 30, etc"
4398,universities,"take initial cap, eg Sheffield University, Johns Hopkins University, Free University of Berlin"
4399,University College London,no comma; UCL after first mention
4400,University of the Arts London,"comprises Camberwell College of Arts, Central Saint Martins, Chelsea College of Arts, London College of Communication, London College of Fashion, and Wimbledon College of Arts"
4401,"Unknown Warrior, tomb of the",not soldier
4402,unmistakable,
4403,Unrwa,"stands for United Nations Relief and Works Agency for Palestine Refugees in the Near East, but no need to give its full title"
4404,unskilled workers,"used by the government when talking about stopping certain workers from migrating to the UK when the actual policy is based on income level rather than skill. As such, use low-paid workers instead, unless quoting someone"
4405,until,not “up until”
4406,unveiled,"pictures are, as are cars sometimes, but these days almost everything seems to be – so the government “unveiled a raft of new policies” (two cliches and a redundant “new” in six words) or a company “unveiled record profits”. There is nothing wrong with announcing, reporting, presenting or publishing"
4407,"upbeat, upfront, upgrade, upstage, uptight",but upside down
4408,upcoming,"the coining and, even worse, use of such jargon words is likely to make many otherwise liberal, enlightened readers (and editors) wonder if there is not after all a case to bring back capital, or at least corporal, punishment for crimes against the English language; an editor once told his staff: “If I read upcoming in the Wall Street Journal again, I shall be downcoming and somebody will be outgoing”"
4409,upmarket,rather than the American English upscale
4410,"upriver, upstream",
4411,up to date,but in an up-to-date fashion
4412,US,"for United States, not USA: no need to spell out, even at first mention; do not call it America, although its people are Americans See America"
4413,usable,not useable
4414,USAid,
4415,used,"He used to do something, not he did use to do something and certainly not he did used to do something (double imperfect); a column said “high street shops did, it’s true, used to be more varied” – something like “high street shops certainly used to be more varied” would have been better"
4416,user-generated content,
4417,US Navy Seals,unless they are actual seals (marine mammals are used as minesweepers and underwater sentries)
4418,utopian,
4419,U-turn,
4420,"Uyghur, Uyghurs","the Uyghur people, particularly of the Xinjiang region in China"
4421,Uzbekistan,adjective Uzbek
4422,v,"for versus, not vs: England v Australia, Rochdale v Sheffield Wednesday, etc"
4423,vagina or vulva?,"The vagina is an internal organ, the muscular tubular organ that connects the genitals to the uterus; not the same thing as the vulva, the female genitals.

As the reader who pointed out one of the many examples of our getting this wrong said: “I am sure an article that used the term testicles to describe the penis would be corrected. Why do you accept this error for women?”"
4424,vInspired,for the young people’s volunteering organisation formerly just v
4425,V&A,abbreviation for Victoria and Albert Museum
4426,"Vajpayee, Atal Bihari",former prime minister of India
4427,Val d’Isère,
